"","class","reference","method","size","set","precision","recall","f1","accuracy"
"1","B cell","PBMC10x","CellID",100,1,0.823651452282158,0.595425571803525,0.691186071817193,0.595425571803525
"2","B cell","PBMC10x","CellID",100,10,0.741164241164241,0.534683164604424,0.621215421476803,0.534683164604424
"3","B cell","PBMC10x","CellID",100,11,0.724770642201835,0.622047244094488,0.669491525423729,0.622047244094488
"4","B cell","PBMC10x","CellID",100,12,0.737576285963383,0.634420697412823,0.682120540213667,0.634420697412823
"5","B cell","PBMC10x","CellID",100,13,0.795061728395062,0.603674540682415,0.686274509803922,0.603674540682415
"6","B cell","PBMC10x","CellID",100,14,0.807935595169638,0.526809148856393,0.637766681797549,0.526809148856393
"7","B cell","PBMC10x","CellID",100,15,0.812093953023488,0.609298837645294,0.696229648671808,0.609298837645294
"8","B cell","PBMC10x","CellID",100,16,0.711640211640212,0.605174353205849,0.654103343465046,0.605174353205849
"9","B cell","PBMC10x","CellID",100,17,0.771549693829487,0.614173228346457,0.6839248434238,0.614173228346457
"10","B cell","PBMC10x","CellID",100,18,0.767968056787933,0.64904386951631,0.703515545620809,0.64904386951631
"11","B cell","PBMC10x","CellID",100,19,0.74227294341417,0.585301837270341,0.654507337526205,0.585301837270341
"12","B cell","PBMC10x","CellID",100,2,0.790213723284589,0.526809148856393,0.632170978627672,0.526809148856393
"13","B cell","PBMC10x","CellID",100,20,0.800387596899225,0.619422572178478,0.698372437116889,0.619422572178478
"14","B cell","PBMC10x","CellID",100,3,0.801927194860814,0.561679790026247,0.6606394707828,0.561679790026247
"15","B cell","PBMC10x","CellID",100,4,0.805497925311203,0.582302212223472,0.6759521218716,0.582302212223472
"16","B cell","PBMC10x","CellID",100,5,0.795947901591896,0.61867266591676,0.69620253164557,0.61867266591676
"17","B cell","PBMC10x","CellID",100,6,0.76497277676951,0.632170978627672,0.692260316156847,0.632170978627672
"18","B cell","PBMC10x","CellID",100,7,0.716910229645094,0.643794525684289,0.678387988937179,0.643794525684289
"19","B cell","PBMC10x","CellID",100,8,0.776855693868142,0.631796025496813,0.696856906534326,0.631796025496813
"20","B cell","PBMC10x","CellID",100,9,0.734137622877569,0.61604799400075,0.669928644240571,0.61604799400075
"21","B cell","PBMC10x","CellID",1000,1,0.792384769539078,0.741282339707537,0.7659821774506,0.741282339707537
"22","B cell","PBMC10x","CellID",1000,10,0.78568540234533,0.728533933258343,0.756031128404669,0.728533933258343
"23","B cell","PBMC10x","CellID",1000,11,0.803258655804481,0.739407574053243,0.770011714174151,0.739407574053243
"24","B cell","PBMC10x","CellID",1000,12,0.793868495361033,0.737907761529809,0.764865915273999,0.737907761529809
"25","B cell","PBMC10x","CellID",1000,13,0.803178484107579,0.739032620922385,0.769771528998242,0.739032620922385
"26","B cell","PBMC10x","CellID",1000,14,0.800653594771242,0.73490813648294,0.766373411534702,0.73490813648294
"27","B cell","PBMC10x","CellID",1000,15,0.789834610730133,0.734158230221222,0.760979401476875,0.734158230221222
"28","B cell","PBMC10x","CellID",1000,16,0.79159802306425,0.720659917510311,0.754465161923454,0.720659917510311
"29","B cell","PBMC10x","CellID",1000,17,0.784820347194186,0.728908886389201,0.755832037325039,0.728908886389201
"30","B cell","PBMC10x","CellID",1000,18,0.795108259823577,0.743532058492688,0.768455725634567,0.743532058492688
"31","B cell","PBMC10x","CellID",1000,19,0.789389708815317,0.742032245969254,0.764978739853112,0.742032245969254
"32","B cell","PBMC10x","CellID",1000,2,0.807599029911075,0.749156355455568,0.777280684691694,0.749156355455568
"33","B cell","PBMC10x","CellID",1000,20,0.802770986145069,0.738657667791526,0.76938098027729,0.738657667791526
"34","B cell","PBMC10x","CellID",1000,3,0.791129032258065,0.735658042744657,0.762385855838352,0.735658042744657
"35","B cell","PBMC10x","CellID",1000,4,0.791750909826122,0.734158230221222,0.761867704280156,0.734158230221222
